Gene1,Gene2
HEATR1,RRP36
HEATR1,RRP1
HEATR1,RPS2
HEATR1,XRN2
HEATR1,MPHOSPH6
HEATR1,NOL12
PSMA7,UBA52
PSMA7,UBC
PSMA7,UBB
PSMA7,RPS27A
PSMA7,SKP1
PSMA7,TP53
PSMA7,RBX1
PSMA7,UBE2C
PSMA7,TNF
PSMA7,PTEN
PSMA7,TNFSF11
PSMA7,RUNX3
PSMA7,TNKS2
PSMA7,TNKS
PSMA7,UBE2D1
PSMA7,TNFRSF12A
PSMA7,UBE2E1
PSMA7,TRAF3
PSMA7,SMURF2
PSMA7,SHH
PSMA7,PTTG1
PSMA7,TNFRSF1B
PSMA7,WWP1
PSMA7,GMNN
PSMA7,OAZ1
PSMA7,RELA
PSMA7,SKP2
PSMA7,ODC1
PSMA7,RELB
PSMA7,TNFSF13B
PSMA7,GTSE1
PSMA7,RNF146
PSMA7,TNFRSF13C
PSMA7,VHL
PSMA7,TRAF2
PSMA7,REL
PSMA7,FBXO5
PSMA7,ZSWIM8
PSMA7,SUFU
PSMA7,PRICKLE1
PSMA7,TNFSF12
PSMA7,TNFRSF11A
PSMA7,SPOP
PSMA7,TNFSF14
PSMA7,SPRED1
PSMA7,TP73
PSMA7,OAZ2
PSMA7,OAZ3
MRPS35,MRPL36
MRPS35,MRPL47
MRPS35,MRPL16
MRPS35,MRPL41
MRPS35,MRPL15
MRPS35,MRPL13
MRPS35,MRPL17
MRPS35,MRPL40
MRPS35,MRPL3
MRPS35,MRPL44
MRPS35,MRPL19
MRPS35,MRPL46
MRPS35,MRPL43
MRPS35,MRPL32
MRPS35,MRPL49
MRPS35,MRPL4
MRPS35,MRPL2
MRPS35,MRPL27
MRPS35,MRPL33
MRPS35,MRPL34
MRPS35,MRPL54
MRPS35,MRPL38
MRPS35,MRPL42
MRPS35,MRPL9
MRPS35,MRPL21
MRPS35,MRPL50
MRPS35,MRPL18
MRPS35,MRPL55
MRPS35,MRPL14
MRPS35,MRPL24
MRPS35,MRPL48
MRPS35,MRPL11
MRPS35,MRPL20
MRPS35,MRPL45
MRPS35,MRPL35
MRPS35,MRPL30
MRPS35,MRPL53
MRPS35,GADD45GIP1
MRPS35,MRPL51
MRPS35,MRPL57
MRPS35,MRPL37
MRPS35,MRPL39
MRPS35,MRPL22
MRPS35,MRPL28
MRPS35,MRPL10
MRPS35,MRPL52
MRPS35,MRPL12
MRPS35,MRPL1
MRPS35,OXA1L
ATG14,RB1CC1
ATG14,NRBF2
ATG14,ULK1
ATG14,ATG9A
ATG14,STX17
ATG14,GABARAPL1
ATG14,GABARAPL2
ATG14,ULK2
ATG14,GABARAP
ATG14,UVRAG
ATG14,PRKAA2
ATG14,PRKAA1
ATG14,SNAP29
ATG14,PRKAG1
ATG14,PRKAG2
ATG14,PRKAB1
ATG14,PRKAG3
CCNB2,CDC20
CCNB2,PLK1
CCNB2,MAD2L1
CCNB2,CDCA8
CCNB2,KIF2C
CCNB2,PKMYT1
CCNB2,CENPF
CCNB2,NCAPG
CCNB2,CENPE
CCNB2,NUF2
CCNB2,CDC25C
CCNB2,CDCA5
CCNB2,CENPA
CCNB2,NCAPH
CCNB2,ZWINT
CCNB2,CENPN
CCNB2,SPC25
CCNB2,CDC25B
CCNB2,CENPM
CCNB2,CDC25A
CCNB2,SKA1
CCNB2,CENPU
CCNB2,SMC4
CCNB2,SMC2
CCNB2,KIF18A
CCNB2,NCAPD2
CCNB2,KNTC1
CCNB2,CENPH
CCNB2,SPDL1
CCNB2,FZR1
CCNB2,SPC24
CCNB2,RAD21
CCNB2,CKAP5
CCNB2,NDC1
CCNB2,INCENP
CCNB2,CENPP
CCNB2,ERCC6L
CCNB2,ZWILCH
CCNB2,CENPK
CCNB2,CENPI
CCNB2,NUP37
CCNB2,DYNC1H1
CCNB2,PPP1CC
CCNB2,RCC2
CCNB2,KIF2A
CCNB2,NUP155
CCNB2,SMC1A
CCNB2,SMC3
CCNB2,SFN
CCNB2,PDS5A
CCNB2,CENPT
CCNB2,PDS5B
CCNB2,XPO1
CCNB2,MAD1L1
CCNB2,DSN1
CCNB2,CENPC
CCNB2,CENPO
CCNB2,NUP205
CCNB2,SKA2
CCNB2,CLIP1
CCNB2,ZW10
CCNB2,CENPQ
CCNB2,MAPRE1
CCNB2,NUP35
