AASS,RPS14
AASS,UBXN6
AASS,AHCYL1
AASS,PRKCE
AASS,RARG
AASS,SP3
AASS,HPSE2
AASS,ZNF483
AASS,PSMD1
AASS,TRMT10C
AASS,RPL15
AASS,SSNA1
AASS,PAWR
AASS,TBL1XR1
AASS,ZFP36L1
AASS,RXRA
AASS,ZNF431
AASS,BLM
AASS,PSAP
AASS,RPL37A
AASS,MCMBP
AASS,TEAD4
AASS,RPL12
AASS,HOXC4
AASS,CTNND1
AASS,IPO9
AASS,SMURF1
AASS,MT-ND5
AASS,MT-ND3
AASS,MT-ATP6
AASS,MT-CO3
AASS,HMGN1
AASS,RNPS1
AASS,MT-ATP8
AASS,NACA2
AATF,AP2B1
AATF,PTBP1
AATF,CD74
AATF,WNK1
AATF,ARFGEF1
AATF,RAD18
AATF,SEMA3A
AATF,DLGAP4
AATF,GSK3B
AATF,PPP2R3C
AATF,HNRNPC
AATF,DDX17
AATF,RBFOX2
AATF,ABCC1
AATF,POP1
AATF,NDRG1
AATF,AKT2
AATF,RPS19
AATF,CASP2
AATF,MED13
AATF,PSMD11
AATF,OSBP
AATF,TRIM3
AATF,OAS2
AATF,STXBP3
AATF,STAG1
AATF,KANSL1
AATF,TUBA1B
AATF,PMEPA1
AATF,MRPS7
AATF,THRA
AATF,CAP1
AATF,PEMT
AATF,MPRIP
AATF,KATNBL1
AATF,LDHA
AATF,UBAC2
AATF,KCTD3
AATF,RPS6
AATF,SSH2
AATF,G6PC3
AATF,ATP8B2
AATF,SLC25A26
AATF,VLDLR
AATF,ARFGAP2
AATF,INCENP
AATF,INPP1
AATF,DST
AATF,RAD17
AATF,PLOD2
AATF,SH3RF1
AATF,ADK
AATF,EEF1A1
AATF,AUTS2
AATF,TAOK1
AATF,NOL9
AATF,MAPKAPK2
AATF,IL15
AATF,CKB
AATF,DDB1
AATF,SF1
AATF,PCBP1
AATF,HDAC3
AATF,PDE3A
AATF,PHF8
AATF,GXYLT2
AATF,PRPF8
AATF,LSM1
AATF,ATAD5
AATF,RCC1
AATF,CBX6
AATF,ACTG1
AATF,CMSS1
AATF,PRKG1
AATF,ZNF529
AATF,COL25A1
AATF,SPOCK3
AATF,TMEM63A
AATF,NCOR2
AATF,NF1
AATF,FLNA
AATF,SND1
AATF,TFDP1
AATF,MT-CO2
AATF,SREBF2
AATF,MT-CO3
AATF,TRIM27
AATF,HLA-A
AATF,RPL41
AATF,PI4KA
AATF,EEF1G
AATF,LAMP2
AATF,NCAPH2
AATF,FAM13B
AATF,TRIO
AATF,ARID1B
AATF,VMP1
AATF,GNAI3
AATF,ATP2B1
AATF,RPS6KA2
AATF,KDM5A
AATF,MARK3
AATF,ACTB
AATF,PPP1R12B
AATF,FDFT1
AATF,PHLPP1
AATF,NFE2L1
AATF,NLK
AATF,NUP188
AATF,XBP1
AATF,RPL3
AATF,UQCC1
AATF,PARP4
AATF,MRPL4
AATF,WDR83OS
AATF,CHCHD3
AATF,RAB5C
AATF,ALDOC
AATF,UBE2D3
AATF,TPI1
AATF,PRPF4B
AATF,LMNB1
AATF,CHRNB4
AATF,UBL3
AATF,BBS9
AATF,SRGN
AATF,RALY
AATF,TRAP1
AATF,PAICS
AATF,TOP2A
AATF,RTN3
AATF,CCNH
AATF,RNF138
AATF,GABARAPL1
AATF,IGF1R
AATF,TP53
AATF,TNFAIP8
AATF,SH3GLB2
AATF,PTPN14
AATF,THY1
AATF,PRKCA
AATF,DISP1
AATF,PPP1R15B
AATF,RPL8
AATF,ARIH1
AATF,RPL13
AATF,SRRM2
AATF,ATXN2L
AATF,ADAM9
AATF,ZNF747
AATF,MCC
AATF,HCFC1
AATF,CNTNAP2
AATF,EIF2S3B
AATF,RAD51B
AATF,SHMT2
AATF,UBE2E2
AATF,RPL35A
AATF,PTCH1
AATF,TEAD1
AATF,IL1RAP
AATF,TUBB
AATF,POM121
AATF,XRCC6
AATF,ZNF44
AATF,FAN1
AATF,MT-ND2
AATF,MT-CO1
AATF,IFI30
AATF,UBA52
AATF,TNFSF12
AATF,CD24
AATF,SYNRG
AATF,DUSP14
AATF,ACACA
AATF,MATR3
ABCA1,MARK4
ABCA1,COX5B
ABCA1,SHROOM3
ABCA1,PIANP
ABCA1,SEC11A
ABCA1,ITPKB
ABCA1,NR6A1
ABCA1,RPL30
ABCA1,ACTB
ABCA1,EPHA6
ABCA1,B4GALT1
ABCA1,FUS
ABCA1,GANAB
ABCA1,UBE2R2
ABCA1,LUC7L3
ABCA1,SNRPC
ABCA1,PAK4
ABCA1,SH3BP5
ABCA1,CSNK1G2
ABCA1,IGF2BP3
ABCA1,RAPGEF5
ABCA1,NDUFB5
ABCA1,H3-3A
ABCA1,SENP2
ABCA1,EEF2
ABCA1,ZCCHC4
ABCA1,SND1
ABCA1,MT-CYB
ABCA1,MT-ND5
ABCA1,MT-ND4
ABCA1,IGF2
ABCA1,FEN1
ABCA1,CBX2
ABCA1,TUBB
ABCA1,ZNF568
ABCA1,CTR9
ABCA1,MT-CO1
ABCA1,MT-CO3
ABCA1,RBM14
ABCA2,SPAG9
ABCA2,CELSR3
ABCA2,CSDE1
ABCA2,YAF2
ABCA2,HDAC4
ABCA2,NUCKS1
ABCA2,GTSE1
ABCA2,PGM1
ABCA2,GNAS
ABCA2,MZF1
ABCA2,HIF1A
ABCA2,UBA6
ABCA2,HSPA5
ABCA2,GPC1
ABCA2,MYLK
ABCA2,PHGDH
ABCA2,UBE2W
ABCA2,CNOT2
ABCA2,ATN1
ABCA2,SRSF4
ABCA2,PPP1R12C
ABCA2,PSMB2
ABCA2,TBC1D14
ABCA2,UNK
ABCA2,FADS2
ABCA2,OS9
ABCA2,TOB1
ABCA2,CDC42BPA
ABCA2,MRPL49
ABCA2,PKN3
ABCA2,NBEAL2
ABCA2,TPCN2
