Gene1,stId,name,Gene2,connected_driver_gene,gene_type,expression_matrix
AKT1,AKT1,AKT1,DEPTOR,,1,-0.2050869542149613
AKT1,AKT1,AKT1,EIF4EBP1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,EP300,,1,-0.2050869542149613
AKT1,AKT1,AKT1,FOXA2,,1,-0.2050869542149613
AKT1,AKT1,AKT1,FOXO1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,FOXO3,,1,-0.2050869542149613
AKT1,AKT1,AKT1,FOXO4,,1,-0.2050869542149613
AKT1,AKT1,AKT1,FOXO6,,1,-0.2050869542149613
AKT1,AKT1,AKT1,GLI2,,1,-0.2050869542149613
AKT1,AKT1,AKT1,GSK3A,,1,-0.2050869542149613
AKT1,AKT1,AKT1,GSK3B,,1,-0.2050869542149613
AKT1,AKT1,AKT1,HIF1A,,1,-0.2050869542149613
AKT1,AKT1,AKT1,HSP90AA1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,IKBKG,,1,-0.2050869542149613
AKT1,AKT1,AKT1,ITGA2B,,1,-0.2050869542149613
AKT1,AKT1,AKT1,ITGB3,,1,-0.2050869542149613
AKT1,AKT1,AKT1,JUN,,1,-0.2050869542149613
AKT1,AKT1,AKT1,KHSRP,,1,-0.2050869542149613
AKT1,AKT1,AKT1,LAMTOR1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,LAMTOR2,,1,-0.2050869542149613
AKT1,AKT1,AKT1,LAMTOR3,,1,-0.2050869542149613
AKT1,AKT1,AKT1,LAMTOR4,,1,-0.2050869542149613
AKT1,AKT1,AKT1,LAMTOR5,,1,-0.2050869542149613
AKT1,AKT1,AKT1,LNPEP,,1,-0.2050869542149613
AKT1,AKT1,AKT1,MAP2K4,,1,-0.2050869542149613
AKT1,AKT1,AKT1,MAP3K14,,1,-0.2050869542149613
AKT1,AKT1,AKT1,MAP3K5,,1,-0.2050869542149613
AKT1,AKT1,AKT1,MAP3K8,,1,-0.2050869542149613
AKT1,AKT1,AKT1,MAPK1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,MAPK3,,1,-0.2050869542149613
AKT1,AKT1,AKT1,MAPKAP1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,MDM2,,1,-0.2050869542149613
AKT1,AKT1,AKT1,MKRN1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,MST1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,MST1R,,1,-0.2050869542149613
AKT1,AKT1,AKT1,NOS1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,NOS2,,1,-0.2050869542149613
AKT1,AKT1,AKT1,NOTCH4,,1,-0.2050869542149613
AKT1,AKT1,AKT1,NR4A1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,NRIP1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PDE3B,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PFKFB2,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PHF20,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PIK3CA,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PIK3CB,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PIK3CD,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PIK3R1,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PIK3R2,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PIK3R3,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PML,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PPP2CA,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PPP2CB,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PPP2R1A,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PPP2R5A,,1,-0.2050869542149613
AKT1,AKT1,AKT1,PPP2R5B,,1,-0.2050869542149613
